school,year,date,x,y,sea level
Bauphal Model High school,2030,2030-04-22,90.5557455,22.4185778,3.333333333333333
PURBA OSMANGONJ HIGH SCHOOL,2030,2030-04-22,90.7457921,22.2345178,3.333333333333333
BIBIR HAT RASHIDIA HIGH SCHOOL,2031,2031-04-22,90.969048,22.613376,3.6666666666666665
HAZIRHAT GOVT. MODEL SECONDARY SCHOOL,2032,2032-04-22,90.9649198,22.2575718,4.0
HAZIRHAT MODEL GOVT. PRIMARY SCHOOL,2034,2034-04-22,90.971723,22.2613738,4.666666666666666
,2036,2036-04-22,90.7462216,22.5983179,5.333333333333333
Niamatpur High school,2036,2036-04-22,90.6330439,22.5813877,5.333333333333333
Hasnabad school,2038,2038-04-22,90.5425048,22.4015357,6.0
Daulatkhan Govt Girls High School,2041,2041-04-22,90.7450496,22.597221,7.0
Shahid Abdul Hamid Kinder Garten,2041,2041-04-22,90.7478349,22.5965301,7.0
Bilbilas School Field,2042,2042-04-22,90.5303859,22.4260356,7.333333333333333
Daspara school building 1,2046,2046-04-22,90.5624311,22.398199,8.666666666666666
Daspara school building 2,2047,2047-04-22,90.5625504,22.3980637,9.0
Bauphal daspara model primary school,2049,2049-04-22,90.5588359,22.4148138,9.666666666666666
